x,y,z,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
102.0537567,30.6606731,2300.079,8.458,5.782,6.637,8.011,9.755,8.409,3.788,-1.465,1.974,3.899,-2.612,-3.879,1.029,-6.964,-7.41,-8.634999999999998,-6.693,-10.791,-10.421,-13.126,-7.402
102.0584488,30.6613731,2610.389,12.683,15.361,10.2,12.805,10.686000000000002,-4.707,12.264,-3.933,-3.089,-1.205,-5.319,-4.212,-3.579,-1.273,-9.777,-15.368,-11.562,-15.393,-11.135,-11.449,-5.587
102.0602417,30.6616383,2669.964,5.531,10.989,7.234,0.746,4.343,-4.491,-4.538,5.0,-2.693,-1.327,5.058,7.638,-3.319,-3.658,-2.046,-6.358,-5.239,-7.881,-5.329,-8.118999999999998,-10.239
102.0536728,30.6607876,2248.692,5.066,3.116,1.498,-2.107,4.007,2.747,-7.934,3.267,2.021,0.03,-7.569,-0.08899999999999998,-0.761,2.216,-0.858,-0.369,-2.447,-2.929,-1.358,0.553,-3.046
102.05389400000001,30.6608219,2244.823,3.664,4.763,1.334,0.46,-2.851,-3.556,0.654,0.476,-0.071,-4.172,6.172,-0.13600000000000004,-1.955,-1.134,0.658,0.586,-2.406,-2.018,-1.752,-2.279,-6.55
102.0553513,30.6610374,2340.521,4.487,-1.082,1.446,-0.562,0.597,1.55,-7.929999999999999,4.24,-1.192,2.79,0.156,2.468,0.392,-3.33,-0.159,0.659,0.73,4.735,-2.12,-5.664,-2.109
102.0553818,30.6610432,2335.576,5.723,-0.926,0.433,-1.18,1.297,2.872,-8.090999999999998,4.256,-0.904,2.413,0.141,2.71,0.563,-4.038,-0.24,0.757,-1.004,3.559,-2.075,-5.361,-2.015
102.060257,30.6617699,2678.324,11.763000000000003,3.498,4.837,10.685,3.695,11.696,8.993,-2.555,4.226,1.179,-7.066,-10.927,-2.938,-4.02,-7.537,-5.262,-8.223,-6.71,-10.377,-9.284,-9.151
102.0536499,30.6609116,2250.363,3.718,4.396,1.851,0.982,-1.03,-3.276,-5.125,1.658,-1.86,-4.572,1.047,0.71,-0.9,1.164,0.711,1.128,-2.334,-0.925,-0.062,-0.865,-4.775
102.0538712,30.660944,2244.516,3.547,3.814,1.314,2.216,-3.075,-4.1,1.144,1.047,-3.018,-5.869,5.682,0.319,-1.163,-0.483,-0.086,2.044,-2.643,-1.284,-1.866,-2.421,-6.497
102.0552902,30.6611557,2349.458,3.325,-0.249,1.597,-1.357,1.267,0.113,-10.122,4.409,-1.513,5.647,-0.459,6.364,1.877,-1.47,-1.186,1.457,-0.431,5.054,-2.585,-6.244,-1.899
102.0518951,30.660778,2136.623,12.877,1.377,6.915,8.999,8.576,14.343000000000004,12.029000000000003,-0.961,-2.335,2.391,-9.298,-0.965,-4.529,-4.359,-9.293,-11.735,-7.65,-11.609000000000004,-10.783,-11.802,-8.243999999999998
102.0519257,30.6607819,2146.195,9.377,3.195,9.537,11.277,13.387,14.874,13.001,1.877,-1.253,6.407,-7.021,-4.855,-3.031,-10.66,-12.252,-14.487,-8.361,-9.838,-15.354,-14.739,-8.047
102.0533218,30.6609898,2240.315,2.505,4.624,1.659,2.159,-3.201,-4.875,-0.202,0.718,-4.706,-6.727,4.482,-0.033,0.065,-0.177,1.651,2.61,-2.631,-0.782,0.144,-1.359,-6.391
102.0536728,30.6610432,2121.406,2.004,-5.211,-2.438,2.596,2.026,-0.888,-2.518,-3.362,-2.831,7.231,0.754,-0.706,1.271,-2.174,-0.462,-7.106,0.878,16.988,0.8499999999999999,-2.027,8.252
102.0537415,30.6610527,2167.583,8.429999999999998,11.486,6.234,5.025,5.699,5.061,1.118,1.536,2.179,1.432,0.9990000000000002,2.201,-2.748,-1.286,-5.555,-1.273,-15.684,-14.811,-9.281,-8.487,-18.441
102.0537796,30.6610584,2166.965,8.822,12.378,7.042,4.493,5.234,5.652,1.122,1.772,2.664,-0.268,-1.626,2.032,-2.536,-0.815,-6.382,-1.197,-15.466,-15.492,-9.233,-8.391999999999998,-18.188
102.0538101,30.6610641,2162.686,8.997999999999998,11.486,7.215,3.81,4.913,5.376,1.303,1.5,3.524,0.16,-2.752,1.334,-3.271,-0.9960000000000002,-5.802,-1.731,-13.626,-14.867,-7.988,-8.553,-16.522
102.0538483,30.661068,2158.914,9.406,9.442,8.009999999999998,3.202,5.107,4.919,2.822,2.913,4.597,1.002,-3.832,0.518,-3.213,-13.455,-5.035,-0.224,-8.827999999999998,-13.981,-5.926,-8.266999999999998,-13.079
102.0539169,30.6610794,2150.501,7.088,9.261,8.093999999999998,4.682,-1.236,1.419,4.582,2.608,1.736,-0.227,-6.229,-1.002,-0.653,-2.87,-4.848,-6.547,5.687,-19.578,-12.158,-8.676999999999998,-0.392
102.0539856,30.6610889,2157.267,9.964,12.651,4.843,-6.437,6.938,9.19,1.112,0.008999999999999998,4.303,8.794,2.71,-2.235,-1.219,-3.097,-0.703,-4.832,-16.619,-13.97,-6.122,-3.132,-17.18
102.054985,30.6612377,2328.522,5.307,20.176,18.34,4.514,-2.681,-4.767,4.943,2.62,1.322,0.894,-3.507,-4.752,-4.761,-8.984999999999998,-4.372,-8.05,-9.803,-4.112,-8.265,-9.016,-9.803
102.056778,30.6615047,2409.416,1.19,-0.091,0.866,0.223,0.035,0.982,-0.855,-0.416,-0.072,-1.049,12.159,-0.294,-1.473,-0.382,-1.957,-2.198,-2.267,-1.812,-2.744,-1.619,-3.677
102.0568161,30.6615105,2403.653,3.187,2.953,0.872,2.166,1.543,1.056,1.435,0.277,0.313,0.901,-12.875,-0.412,0.383,-0.8369999999999999,0.12400000000000003,-0.379,-0.861,-1.153,-0.045,-1.576,-0.212
102.0534363,30.6611347,2140.449,-0.711,9.597,4.428,0.623,-4.442,-4.794,-7.644,-8.249,13.427,9.698,-1.429,0.108,-3.261,-1.864,4.165,-8.292,-2.514,7.339,2.059,-1.345,1.908
102.0536804,30.661171,2267.752,17.128,-0.951,1.457,12.532,10.811000000000002,6.007,3.468,1.805,-4.946,-8.49,9.674,-22.029,-9.163,2.172,-3.035,-12.26,-3.553,-5.435,-7.362,-8.09,-11.72
102.0537186,30.6611767,2265.006,13.36,0.138,1.312,12.482,9.158,6.737,2.15,2.07,-4.562,-10.181,9.958,-21.87,-6.806,1.16,-2.464,-12.009,-2.748,-3.766,-7.583,-7.466999999999999,-10.371
102.0537491,30.6611824,2258.932,11.822,0.472,-0.772,11.327000000000002,5.531,3.808,0.142,-0.339,-5.701,-12.622,7.926,3.422,-6.459,-0.466,-2.604,-13.089,-4.056,-1.271,-9.473,-8.372999999999998,-10.501
102.0537872,30.6611862,2171.413,8.684,9.66,6.524,3.945,3.957,5.862,-0.479,3.519,3.323,0.964,-1.237,1.681,-3.012,-0.321,-6.668,1.309,-12.004,-14.484,-8.401,-9.506,-18.107
102.0538254,30.6611919,2164.718,9.711,8.865,8.342,3.993,4.224,6.465,0.766,3.643,4.095,1.573,-2.546,2.052,-2.843,-16.504,-5.02,1.84,-10.312,-12.904000000000003,-5.724,-8.949,-14.762
102.05499270000001,30.6613674,2309.009,4.874,-2.209,-2.74,13.871,3.994,-2.694,5.703,0.872,-8.606,1.233,-0.864,3.945,-0.981,-4.748,0.104,0.043,-3.703,1.004,-5.3,-7.784,-3.988
102.0550308,30.6613712,2295.891,3.232,-3.594,-3.198,12.35,4.996,-1.595,5.2,3.085,-7.631999999999999,2.569,-2.728,2.805,-2.295,-2.041,-0.362,1.157,-3.638,1.855,-3.84,-7.177,-3.988
102.0519028,30.6610336,2018.865,13.351,14.326,13.57,9.852,-0.303,3.782,11.894,0.986,8.627,-5.088,-7.245,-5.212,-6.145,-7.996,-14.147,-10.362,-3.658,-12.049,-17.387,-16.431999999999995,-11.405
102.0519333,30.6610394,2025.241,11.215,11.891,14.51,10.387,-1.273,7.049,13.266,0.218,7.288999999999999,-0.546,-6.407,-3.968,-6.054,-8.593999999999998,-14.161,-9.717,-4.063,-12.57,-15.642,-17.079,-11.487
102.05197140000001,30.6610432,2028.248,11.545000000000003,9.66,14.314,9.036,-0.733,7.863,11.844,-0.821,4.812,-3.502,3.819,-2.951,-7.586,0.22,-16.347,-12.64,-7.384,-12.78,-16.174,-18.765,-12.604
102.0534363,30.6612625,2119.557,13.498,18.445,11.251,0.274,12.634,3.903,-3.06,-0.868,0.005,0.309,-6.384,6.4,-1.386,-4.122,-4.349,-19.231,-11.378,-12.215,-11.324,-10.032,-14.687
102.0564194,30.6617069,2393.786,7.179,7.1,-1.426,9.631,6.7,3.67,8.272999999999998,0.8299999999999998,-4.08,-5.125,-7.046,4.484,-6.578,4.684,-4.001,-13.763000000000003,0.667,-4.092,-1.006,-11.667,-20.594
102.0519104,30.6611614,2029.012,7.376999999999998,13.055,14.006,9.811000000000002,-2.967,7.219999999999998,16.513,1.653,6.891,3.613,-6.24,0.736,-4.848,-12.079,-14.298,-5.676,-5.887,-15.953,-14.598,-17.265,-12.429
102.0519485,30.6611671,2051.314,8.997,9.488,13.253,9.714,22.638,4.463,14.669,2.991,5.508,5.76,-6.226,-0.466,-5.02,-14.207,-15.83,-11.244,-10.747,-19.061,-16.026,-19.384,-16.513
102.0534134,30.6613865,2118.719,13.547,18.12,11.617,-2.372,11.253,4.795,-2.449,0.429,1.812,1.243,-3.536,6.374,-0.794,-4.427,-7.196,-17.809999999999995,-9.196,-13.56,-12.645,-11.374,-15.876
102.05365750000001,30.6614227,2117.74,15.829,20.415,7.941,16.482,2.548,-0.872,-3.827,3.5,0.782,-1.449,-1.945,2.459,-8.022999999999998,-4.203,-2.445,-8.172,-13.568,-22.233,-12.257,-13.022,-16.812999999999995
102.0488434,30.6608334,1909.522,6.467,7.167,1.66,6.829,0.344,4.981,0.877,4.888,-0.972,-0.43,-2.796,0.642,-2.365,-1.928,-5.764,-2.174,-6.81,-6.535,-7.841,-4.965,-8.608
102.0488815,30.6608372,1900.098,6.003,6.509,2.442,5.643,-0.07499999999999998,4.786,0.252,4.304,-0.254,1.304,-1.068,-0.279,-1.805,-1.67,-5.482,-1.251,-6.483,-6.776,-7.181,-5.726,-7.804
102.0491333,30.6608753,1879.882,16.036,1.048,5.652,1.534,0.782,4.431,-0.583,2.156,-0.756,-0.272,-1.087,0.622,-3.593,-3.059,-6.399,-1.352,-4.191,-6.311,-8.352999999999998,-8.117,-5.776
102.0491714,30.660881,1865.522,16.882,0.372,5.802,0.276,1.844,4.774,-0.679,0.376,-1.135,-2.818,-1.627,1.735,-0.807,-3.85,-7.301999999999999,-1.402,-3.457,-5.726,-9.22,-8.695,-5.262
102.049202,30.6608868,1862.258,16.03,0.07499999999999998,5.991,1.1210000000000002,2.083,4.621,-2.364,0.082,-0.606,-3.868,-1.788,1.975,0.103,-4.425,-7.631999999999999,-0.463,-2.983,-6.139,-9.217,-8.449999999999998,-4.404
102.0492401,30.6608906,1864.388,-3.777,2.759,5.944,0.458,2.869,3.47,5.862,0.9950000000000002,2.173,-2.008,-1.273,1.161,1.851,-3.751,-3.052,-0.097,-2.648,-5.524,-5.197,-7.65,-4.515
102.04927060000001,30.6608963,1859.84,-0.341,5.992,4.759,-1.537,3.553,-0.164,6.943,-0.626,4.142,-0.209,-0.379,-2.755,1.879,-7.045,-0.406,-1.317,-2.551,-5.307,-2.722,-8.266,-4.465
102.0493469,30.6609077,1854.874,4.041,5.047,6.983,0.233,4.6,0.589,-2.073,-1.975,-1.608,2.039,3.3,-3.712,1.681,-4.027,-1.342,-2.513,-4.644,-3.05,-2.819,-1.234,-8.08
102.0493774,30.6609116,1850.054,4.725,4.318,7.384,2.413,3.224,1.243,-3.76,-3.097,0.339,1.332,3.333,-4.388,0.384,-1.361,-2.591,-2.719,-5.198,-1.789,-3.164,-2.652,-7.759
102.0494156,30.6609173,1839.669,3.659,2.65,7.562,8.919,1.978,2.531,-2.844,-3.06,-0.707,-0.38,1.578,-4.247,-0.974,-4.087,-1.1230000000000002,-3.037,-4.361,-0.618,-3.377,-5.594,-7.178
